Date;PX;BUX;WIG;NIKKEI;HS;SSEC;DAX;FTSE
2014-04-10;36.6460057607467;59.4128290012783;592.548803299918;101.419290780142;2156.68576530992;247.704931351044;9454.54;8029.46083172147
2014-04-11;36.160935450969;58.5263552254365;588.981045486053;99.2256023882294;2138.38159423658;247.302991259533;9315.29;7914.24436135569
2014-04-14;36.188378358698;57.8843789638013;583.552505738332;98.7446581954994;2149.02150999011;247.86213472563;9339.17;7957.16702924825
2014-04-15;36.2726246403729;56.4580281873515;574.978503869304;99.5364101834732;2118.25503606533;244.747752364094;9173.71;7928.26324081929
2014-04-16;36.4774423770163;56.4497373370517;570.967203737249;101.855740021194;2114.79780096906;244.428962890716;9317.82;7991.46741109358
2014-04-17;36.5929750563595;57.5269554479576;580.372940362925;101.840291022109;2118.47315170751;243.633704395872;9409.71;8037.42569452869
2014-04-18;36.7289069885827;58.1564384362916;586.162934878508;102.537755174119;2124.0746483986;243.502536303381;9489.0169;8073.36709935703
2014-04-21;36.8868300487237;58.3652201605303;587.660514581396;102.510277601187;2127.82181185253;239.797327885408;9619.3097;8108.94104088317
2014-04-22;36.8327207889087;58.2464093795799;586.861070013841;101.551062177994;2122.00263258619;240.537278793153;9600.09;8143.52224253504
2014-04-23;36.7019920608908;57.7507960231334;585.192959023041;102.829563127386;2098.76179465185;239.640663034659;9544.19;8101.39580046122
2014-04-24;36.5135007105637;57.1068794072726;583.895595743666;101.708606933559;2105.70130003453;238.134543475996;9548.68;8144.59295261239
2014-04-25;36.1529497450838;56.7552002583979;578.13838393452;102.298901098901;2072.41385741596;235.381414701803;9401.55;8125.04101598104
2014-04-28;36.280501128997;56.6522188489116;579.578787230502;100.727740571026;2059.60636515913;231.112367197684;9446.36;8143.12105007292
2014-04-29;36.7882919005613;56.9765508765121;583.738153069486;100.414196296557;2094.65744990485;233.511326860841;9584.12;8233.89686207735
2014-04-30;36.8001019887812;56.6736989240321;580.404054825814;100.68353628493;2061.29410778644;233.677752663868;9603.23;8238.18955042527
2014-05-01;36.8177569753041;56.2109563436596;579.344898153436;101.957696909974;2062.71754253625;234.051097836616;9585.2677;8273.23207776428
2014-05-02;36.8317300685031;55.9773002898362;578.5797549661;101.770449106012;2071.434420509;233.95247314802;9556.02;8305.84368151936
2014-05-05;36.7608251931768;56.3911194780746;571.642074749923;99.6667533936652;2043.22638229032;233.983495873968;9529.5;8270.11045896978
2014-05-06;36.8314017056637;57.5200469009543;568.623717841929;98.7465304108817;2019.27834565183;233.567126190558;9467.53;8279.31559398405
2014-05-07;36.7674740989348;58.7973193854201;568.9389970951;99.0503246753247;2014.34460016488;231.488028744832;9521.3;8281.27208480565
2014-05-08;36.7096558770938;59.5132327316961;573.28293427454;99.7800634026066;2018.9831636757;231.930809865233;9607.4;8307.11769707276
2014-05-09;36.6782272196262;59.7302454108823;570.932262152404;101.324318538604;2046.59820642915;234.340079933816;9581.45;8338.41541755889
2014-05-12;36.6506059278727;60.0476770603536;576.954899803912;100.844701019172;2086.33483908455;239.120103435021;9702.46;8405.50818867693
2014-05-13;36.2713472485769;59.7866679853625;576.58288335643;102.855187165775;2104.30795880326;240.202635431918;9754.43;8444.10590331101
2014-05-14;36.00;60.0642458100559;578.14201126922;103.156176154672;2123.51851503583;239.653376710004;9754.39;8411.99706493824
2014-05-15;35.7507288629738;60.068868980963;573.210183767228;102.739167924122;2146.81060047978;237.979786108826;9656.05;8391.67075564279
2014-05-16;35.9457785227563;60.2596018697088;571.040950744559;101.450809643757;2139.31656133146;237.353447569074;9629.1;8414.10162002946
2014-05-19;35.8739171580403;61.0523609928613;573.256424954619;100.918221773903;2135.54746653875;234.400607867204;9659.39;8402.34470905966
2014-05-20;36.0151388332909;61.5940221305572;575.313298164371;101.348286290323;2149.65215344787;234.950274950275;9639.08;8356.26535626536
2014-05-21;35.8976226016675;62.0420388859695;576.592341482047;101.622304240845;2153.7994322308;237.522433228156;9697.87;8427.27946627131
2014-05-22;36.1334402215501;62.7832949687603;590.070633305399;103.179260218768;2166.000773782;237.173800807284;9720.91;8416.28825271471
2014-05-23;36.3554194912166;63.2415565587005;592.231750378324;104.104304635762;2173.6035132219;239.304869442484;9768.01;8421.26397726571
2014-05-26;36.7189380401882;63.1033788023913;594.941034897714;105.07677916097;2172.11638509998;239.973669052909;9892.82;8440.89912334856
2014-05-27;36.7896329238508;62.7550233875749;591.817373970267;105.291130134523;2169.94051278171;238.720842915474;9940.82;8440.12330456227
2014-05-28;36.9783543473508;62.3952302631579;589.050620729477;105.751820082174;2187.74277941553;240.857827588637;9939.17;8432.27076923077
2014-05-29;36.9917012448133;62.9229423222952;594.822178256044;106.127801069828;2180.33259108353;240.282602296144;9938.9;8436.20626151013
2014-05-30;37.3928870445197;63.6188368944222;586.68228248533;105.755854293148;2188.0207790238;239.836518670979;9943.27;8417.79608904194
